"Sampling.Event.ID","Site","SiteCode","Height","Genus","Herbicide.Treatment","Sociality","Nest.Type","Agapostemon texanus","Agapostemon virescens","Apis mellifera","Augochlorella aurata","Calliopsis nebraskensis","Ceratina dupla","Eucera hamata","Halictus ligatus","Lasioglossum Dialictus","Lasioglossum Evylaeus","Lasioglossum Hemihalictus","Melissodes bimaculata","Melissodes boltoniae","Melissodes communis","Melissodes trinodis","Osmia lignaria","Osmia pumila","Species.Density"
28,"LTR","LTR-W","High","Agapostemon","Con","Semi-Social","Ground",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
28,"LTR","LTR-W","High","Augochlorella","Con","Semi-Social","Ground",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
28,"LTR","LTR-W","High","Lasioglossum","Con","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
28,"LTR","LTR-W","High","Melissodes","Con","Solitary","Ground",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
28,"LTR","LTR-W","Low","Augochlorella","Con","Semi-Social","Ground",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
28,"LTR","LTR-W","Low","Lasioglossum","Con","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA
29,"PYN","PYN-N","High","Agapostemon","Ref","Semi-Social","Ground",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
29,"PYN","PYN-N","High","Augochlorella","Ref","Semi-Social","Ground",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
29,"PYN","PYN-N","High","Halictus","Ref","Social","Ground",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
29,"PYN","PYN-N","High","Lasioglossum","Ref","Semi-Social","Ground",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,NA
29,"PYN","PYN-N","Low","Augochlorella","Ref","Semi-Social","Ground",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
30,"RIS","RIS-S","High","Agapostemon","Ref","Semi-Social","Ground",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
30,"RIS","RIS-S","High","Augochlorella","Ref","Semi-Social","Ground",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
30,"RIS","RIS-S","High","Ceratina","Ref","Semi-Social","Cavities",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
30,"RIS","RIS-S","High","Lasioglossum","Ref","Semi-Social","Ground",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,NA
31,"GIL","GIL-C","High","Lasioglossum","SnS","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
31,"GIL","GIL-C","High","Melissodes","SnS","Solitary","Ground",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA
31,"GIL","GIL-C","Low","Lasioglossum","SnS","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
32,"STE","STE-N","High","Agapostemon","Spr","Semi-Social","Ground",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
32,"STE","STE-N","High","Apis","Spr","Social","Cavities",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
32,"STE","STE-N","High","Ceratina","Spr","Semi-Social","Cavities",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA
32,"STE","STE-N","High","Halictus","Spr","Social","Ground",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA
32,"STE","STE-N","High","Lasioglossum","Spr","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
32,"STE","STE-N","Low","Lasioglossum","Spr","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
33,"KLN","KLN-E","High","Agapostemon","Ref","Semi-Social","Ground",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
33,"KLN","KLN-E","High","Halictus","Ref","Social","Ground",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
34,"GIL","GIL-S","High","Lasioglossum","Con","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
35,"LTR","LTR-C","High","Agapostemon","Spr","Semi-Social","Ground",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
35,"LTR","LTR-C","High","Lasioglossum","Spr","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
35,"LTR","LTR-C","Low","Augochlorella","Spr","Semi-Social","Ground",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
36,"LTR","LTR-E","High","Melissodes","SnS","Solitary","Ground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
36,"LTR","LTR-E","Low","Augochlorella","SnS","Semi-Social","Ground",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
37,"GIL","GIL-N","High","Ceratina","Spr","Semi-Social","Cavities",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NA
38,"STE","STE-W","High","Lasioglossum","Con","Semi-Social","Ground",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
38,"STE","STE-W","High","Melissodes","Con","Solitary","Ground",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
39,"STE","STE-S","High","Augochlorella","SnS","Semi-Social","Ground",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
40,"LTR","LTR-W","High","Melissodes","Con","Solitary","Ground",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
40,"LTR","LTR-W","Low","Augochlorella","Con","Semi-Social","Ground",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
