"Sampling.Event.ID","Site","SiteCode","Height","Genus","Bee.Species","Herbicide.Treatment","Sociality","Nest.Type","Number"
24,"GIL","GIL-N","Low","Agapostemon","Agapostemon virescens","Spr","Semi-Social","Ground",1
24,"GIL","GIL-N","High","Augochlorella","Augochlorella aurata","Spr","Semi-Social","Ground",4
7,"LTR","LTR-C","High","Augochlorella","Augochlorella aurata","Spr","Semi-Social","Ground",2
22,"LTR","LTR-C","High","Augochlorella","Augochlorella aurata","Spr","Semi-Social","Ground",2
24,"GIL","GIL-N","Low","Augochlorella","Augochlorella aurata","Spr","Semi-Social","Ground",1
7,"LTR","LTR-C","Low","Augochlorella","Augochlorella aurata","Spr","Semi-Social","Ground",3
22,"LTR","LTR-C","Low","Augochlorella","Augochlorella aurata","Spr","Semi-Social","Ground",3
35,"LTR","LTR-C","Low","Augochlorella","Augochlorella aurata","Spr","Semi-Social","Ground",1
24,"GIL","GIL-N","High","Lasioglossum","Lasioglossum Dialictus","Spr","Semi-Social","Ground",3
7,"LTR","LTR-C","High","Lasioglossum","Lasioglossum Dialictus","Spr","Semi-Social","Ground",3
35,"LTR","LTR-C","High","Lasioglossum","Lasioglossum Dialictus","Spr","Semi-Social","Ground",1
32,"STE","STE-N","High","Lasioglossum","Lasioglossum Dialictus","Spr","Semi-Social","Ground",1
24,"GIL","GIL-N","Low","Lasioglossum","Lasioglossum Dialictus","Spr","Semi-Social","Ground",1
32,"STE","STE-N","Low","Lasioglossum","Lasioglossum Dialictus","Spr","Semi-Social","Ground",1
8,"GIL","GIL-S","High","Halictus","Halictus ligatus","Con","Social","Ground",1
15,"LTR","LTR-W","High","Halictus","Halictus ligatus","Con","Social","Ground",1
26,"STE","STE-W","High","Halictus","Halictus ligatus","Con","Social","Ground",2
21,"KLN","KLN-E","High","Halictus","Halictus ligatus","Ref","Social","Ground",1
33,"KLN","KLN-E","High","Halictus","Halictus ligatus","Ref","Social","Ground",1
29,"PYN","PYN-N","High","Halictus","Halictus ligatus","Ref","Social","Ground",1
